Date,Occupation,Ethnicity,Numerator,Denominator,Percentage
Oct 2016-Sep 2017,"Process, plant & mach. Opers",White,2300,139700,1.646385111
Oct 2016-Sep 2017,Elementary occups.,White,4500,139700,3.221188261
Jan 2017-Dec 2017,"Managers, directors & seniors",White,17900,142800,12.53501401
Jan 2017-Dec 2017,Prof. occups.,White,54500,142800,38.16526611
Jan 2017-Dec 2017,Associate prof. & tech. occups.,White,33100,142800,23.17927171
Jan 2017-Dec 2017,Admin. & secretarial occups.,White,17200,142800,12.04481793
Jan 2017-Dec 2017,Skilled trades occups.,White,6200,142800,4.341736695
Jan 2017-Dec 2017,"Caring, leisure and other occs.",White,4200,142800,2.941176471
Jan 2017-Dec 2017,Sales & consumer service occs.,White,!,142800,#VALUE!
Jan 2017-Dec 2017,"Process, plant & mach. Opers",White,2200,142800,1.540616246
Jan 2017-Dec 2017,Elementary occups.,White,5600,142800,3.921568627
Apr 2017-Mar 2018,"Managers, directors & seniors",White,16700,129900,12.85604311
Apr 2017-Mar 2018,Prof. occups.,White,49500,129900,38.10623557
Apr 2017-Mar 2018,Associate prof. & tech. occups.,White,27900,129900,21.47806005
Apr 2017-Mar 2018,Admin. & secretarial occups.,White,15100,129900,11.6243264
Apr 2017-Mar 2018,Skilled trades occups.,White,7100,129900,5.465742879
Apr 2017-Mar 2018,"Caring, leisure and other occs.",White,5400,129900,4.15704388
Apr 2017-Mar 2018,Sales & consumer service occs.,White,2900,129900,2.232486528
Apr 2017-Mar 2018,"Process, plant & mach. Opers",White,!,129900,#VALUE!
Apr 2017-Mar 2018,Elementary occups.,White,3900,129900,3.002309469
Jul 2017-Jun 2018,"Managers, directors & seniors",White,16600,129000,12.86821705
Jul 2017-Jun 2018,Prof. occups.,White,51700,129000,40.07751938
Jul 2017-Jun 2018,Associate prof. & tech. occups.,White,28000,129000,21.70542636
Jul 2017-Jun 2018,Admin. & secretarial occups.,White,11700,129000,9.069767442
Jul 2017-Jun 2018,Skilled trades occups.,White,5700,129000,4.418604651
Jul 2017-Jun 2018,"Caring, leisure and other occs.",White,5500,129000,4.263565891
Jul 2017-Jun 2018,Sales & consumer service occs.,White,2900,129000,2.248062016
Jul 2017-Jun 2018,"Process, plant & mach. Opers",White,2300,129000,1.782945736
Jul 2017-Jun 2018,Elementary occups.,White,4600,129000,3.565891473
Oct 2017-Sep 2018,"Managers, directors & seniors",White,14900,127000,11.73228346
Oct 2017-Sep 2018,Prof. occups.,White,52400,127000,41.25984252
Oct 2017-Sep 2018,Associate prof. & tech. occups.,White,24000,127000,18.8976378
Oct 2017-Sep 2018,Admin. & secretarial occups.,White,13100,127000,10.31496063
Oct 2017-Sep 2018,Skilled trades occups.,White,7300,127000,5.748031496
Oct 2017-Sep 2018,"Caring, leisure and other occs.",White,6400,127000,5.039370079
Oct 2017-Sep 2018,Sales & consumer service occs.,White,1800,127000,1.417322835
Oct 2017-Sep 2018,"Process, plant & mach. Opers",White,2800,127000,2.204724409
Oct 2017-Sep 2018,Elementary occups.,White,4300,127000,3.385826772
Jan 2018-Dec 2018,"Managers, directors & seniors",White,18500,121000,15.2892562
Jan 2018-Dec 2018,Prof. occups.,White,45900,121000,37.9338843
Jan 2018-Dec 2018,Associate prof. & tech. occups.,White,23200,121000,19.17355372
Jan 2018-Dec 2018,Admin. & secretarial occups.,White,9000,121000,7.438016529
Jan 2018-Dec 2018,Skilled trades occups.,White,7200,121000,5.950413223
Jan 2018-Dec 2018,"Caring, leisure and other occs.",White,7700,121000,6.363636364
Jan 2018-Dec 2018,Sales & consumer service occs.,White,2200,121000,1.818181818
Jan 2018-Dec 2018,"Process, plant & mach. Opers",White,3100,121000,2.561983471
Jan 2018-Dec 2018,Elementary occups.,White,4300,121000,3.553719008
Apr 2018-Mar 2019,"Managers, directors & seniors",White,20200,125200,16.1341853
